topic_id,ea_wrks_topcnt,ea_wrks_cnt,topic_id_1,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
https://openalex.org/T11252,3,8,https://openalex.org/T11252,Evolutionary Game Theory and Cooperation,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Cooperation; Altruism; Evolutionary Games; Social Networks; Indirect Reciprocity; Group Selection; Cultural Evolution; Microbial Communities; Religious Behavior; Public Goods Games,"This cluster of papers explores the evolution of cooperation, altruism, and social behavior in various systems, including human societies, microbial communities, and religious groups. It investigates the role of evolutionary games, social networks, indirect reciprocity, and cultural evolution in shaping cooperative behaviors and examines the dynamics of public goods games and the emergence of altruistic punishment. Additionally, it delves into the interplay between genetic and cultural factors in promoting prosocial behaviors.",https://en.wikipedia.org/wiki/Evolution_of_cooperation
https://openalex.org/T12957,0,8,https://openalex.org/T12957,"War, Ethics, and Justification",1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Just War Theory; Ethics; Self-Defense; Proportionality; Terrorism; Morality; Responsibility; Preventive War; Combatants; Humanitarian Intervention,"This cluster of papers explores the ethical considerations surrounding just war theory, self-defense, proportionality in warfare, terrorism, preventive war, and the moral responsibilities of combatants. It delves into topics such as the morality of killing in war, the principles of self-defense, and the ethical implications of humanitarian intervention.",https://en.wikipedia.org/wiki/Just_war_theory
https://openalex.org/T12615,3,7,https://openalex.org/T12615,Climate Change and Geoengineering,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,Geoengineering; Climate Change; Ethics; Solar Radiation Management; Stratospheric Aerosols; Global Governance; Climate Justice; Public Perception; Environmental Ethics; Policy Dilemma,"This cluster of papers focuses on the ethical, governance, and environmental implications of geoengineering as a potential solution to climate change. It explores topics such as solar radiation management, stratospheric aerosol injections, climate justice, public perception, and the ethical dilemmas associated with implementing large-scale engineering interventions to mitigate global warming.",https://en.wikipedia.org/wiki/Climate_engineering
https://openalex.org/T11214,3,6,https://openalex.org/T11214,Human-Animal Interaction Studies,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,Dog Domestication; Genomic Analysis; Animal-Assisted Therapy; Social Cognition; Human-Animal Bond; Genetic Structure; Oxytocin; Behavioral Traits; Canine Genetics; Evolutionary View,"This cluster of papers focuses on genetic and behavioral studies related to the domestication of dogs, including genomic analysis, animal-assisted therapy, social cognition, human-animal bond, genetic structure, oxytocin, behavioral traits, canine genetics, and an evolutionary view of domestication. The papers cover a wide range of topics such as the origin of domestic dogs, genetic evidence for dog domestication, the impact of pets on human health and psychological well-being, and the cognitive evolution in captive foxes as a correlated by-product of experimental domestication.",https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog
https://openalex.org/T11420,2,6,https://openalex.org/T11420,Geographies of human-animal interactions,3305,"Geography, Planning and Development",33,Social Sciences,2,Social Sciences,Affect; Geography; Multispecies Ethnography; Emotion; Space; Materiality; Ethics; Biopolitics; Non-representational; Anthropocene,"This cluster of papers explores the intersection of affect, geography, and multispecies ethnography, delving into the emotional and spatial dimensions of human-animal relations, materiality, and biopolitics. It investigates non-representational approaches to understanding space, ethics, and the impact of the Anthropocene on naturecultures.",https://en.wikipedia.org/wiki/Affective_geographies
https://openalex.org/T11477,0,6,https://openalex.org/T11477,"Epistemology, Ethics, and Metaphysics",1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Knowledge; Belief; Justification; Epistemic Intuitions; Testimony; Skepticism; Truth; Assertion; Perception; Expertise,"This cluster of papers explores various aspects of epistemology, including the nature of knowledge, belief, justification, and epistemic intuitions. It delves into topics such as testimony, skepticism, truth, assertion, perception, and expertise in philosophical studies.",https://en.wikipedia.org/wiki/Epistemology
https://openalex.org/T13906,2,6,https://openalex.org/T13906,Social Issues and Policies,3311,Safety Research,33,Social Sciences,2,Social Sciences,Economic Inequality; Social Justice; Globalization; Poverty; Market Failures; Sustainability; Public Policy; Wealth Distribution; Community Well-being; Labor Markets,"This cluster of papers explores the impact of economic policies, market failures, and globalization on social disparities, poverty, and community well-being. It delves into issues of economic inequality, social justice, sustainability, and public policy, with a focus on wealth distribution and labor markets.",https://en.wikipedia.org/wiki/Economic_inequality
https://openalex.org/T11168,1,5,https://openalex.org/T11168,International Development and Aid,3303,Development,33,Social Sciences,2,Social Sciences,Foreign Aid; Development Policies; IMF Programs; Aid Allocation; Governance; Poverty Reduction; China-Africa Relations; NGOs; Conditionality; Economic Growth,"This cluster of papers explores the complex relationship between foreign aid, development policies, and economic growth. It delves into topics such as the effectiveness of aid, the impact of IMF programs, aid allocation strategies, governance issues, poverty reduction efforts, China's engagement in Africa, the role of NGOs, and the concept of conditionality in aid distribution.",https://en.wikipedia.org/wiki/Foreign_aid
https://openalex.org/T11997,2,5,https://openalex.org/T11997,Free Will and Agency,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,Sense of Agency; Voluntary Action; Conscious Awareness; Neural Correlates; Schizophrenia; Free Will; Motor Cognition; Auditory Cortex; Predictive Processes; Responsibility,"This cluster of papers explores the neural correlates and abnormalities related to the sense of agency, voluntary action, conscious awareness, and decision making, with a focus on conditions such as schizophrenia. It also delves into the philosophical implications of free will and moral responsibility in the context of motor cognition and predictive processes.",https://en.wikipedia.org/wiki/Agency_(philosophy)
https://openalex.org/T12752,1,5,https://openalex.org/T12752,Global Peace and Security Dynamics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,Responsibility to Protect; Humanitarian Intervention; International Law; State Sovereignty; United Nations; Genocide; African Union; Security Council; Norms of Protection; Regional Organizations,"This cluster of papers explores the concept of the Responsibility to Protect (R2P) in international relations, focusing on humanitarian intervention, state sovereignty, United Nations involvement, genocide prevention, and the roles of regional organizations such as the African Union. It discusses the evolution of norms of protection and the challenges and debates surrounding the implementation of R2P.",https://en.wikipedia.org/wiki/Responsibility_to_protect
https://openalex.org/T12816,2,5,https://openalex.org/T12816,Global Public Health Policies and Epidemiology,1407,Organizational Behavior and Human Resource Management,14,"Business, Management and Accounting",2,Social Sciences,Non-communicable Diseases; Corporate Political Activity; Global Trade; Health In All Policies; Public Health Governance; Food Industry; Tobacco Industry; Alcohol Industry; Policy Coherence; Health Inequities,"This cluster of papers explores the influence of corporations, particularly in the tobacco, alcohol, and ultra-processed food industries, on public health policies and non-communicable diseases. It delves into topics such as corporate political activity, global trade agreements, health in all policies, and the impact of commercial determinants on health inequities.",https://en.wikipedia.org/wiki/Commercial_determinants_of_health
https://openalex.org/T11163,2,4,https://openalex.org/T11163,Organ Donation and Transplantation,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,Organ Donation; Living Kidney Donors; Brain Death; Transplantation; Ethical Considerations; Donor Management; Kidney Transplantation; Organ Trafficking; Family Decision-Making; Health Risks,"This cluster of papers explores the ethical, medical, and societal aspects of organ donation, with a focus on living kidney donors, brain death determination, transplantation outcomes, ethical considerations, donor management, and family decision-making. It also delves into the health risks and long-term consequences for both donors and recipients. The papers provide insights into the global landscape of organ trafficking and the impact of legislation on donation rates.",https://en.wikipedia.org/wiki/Organ_donation
https://openalex.org/T11365,1,4,https://openalex.org/T11365,Islamic Finance and Banking Studies,1402,Accounting,14,"Business, Management and Accounting",2,Social Sciences,Islamic Banking; Finance; Ethical Identity; Corporate Governance; Risk Management; Shariah Supervision; Financial Stability; Customer Preference; Performance Analysis; Global Financial Crisis,"This cluster of papers explores various aspects of Islamic banking and finance, including its business model, efficiency, stability, risk management, ethical identity, corporate governance, customer preferences, and performance analysis. The literature also delves into the impact of the global financial crisis on Islamic and conventional banks. It provides insights into the differences and similarities between Islamic and conventional banking systems, as well as the role of Islamic banking in economic growth.",https://en.wikipedia.org/wiki/Islamic_banking_and_finance
https://openalex.org/T11388,0,4,https://openalex.org/T11388,"Grief, Bereavement, and Mental Health",3203,Clinical Psychology,32,Psychology,2,Social Sciences,Complicated Grief; Bereavement; Prolonged Grief Disorder; Mental Health; Traumatic Grief; Psychological Impact; Treatment; Resilience; Suicide Bereavement; Parental Loss,"This cluster of papers focuses on the psychological impact of bereavement and grief, particularly on complicated grief, prolonged grief disorder, and traumatic grief. It explores the prevalence, predictors, treatment, and long-term effects of complicated grief, as well as the resilience and mental health outcomes of individuals experiencing bereavement. The cluster also delves into the unique challenges of suicide bereavement and parental loss.",https://en.wikipedia.org/wiki/Complicated_grief
https://openalex.org/T12448,0,4,https://openalex.org/T12448,Paranormal Experiences and Beliefs,3207,Social Psychology,32,Psychology,2,Social Sciences,Near-Death Experiences; Paranormal Beliefs; Consciousness; Superstition; Spirituality; Neuroscience; Psychology; Transpersonal; Intuition; Lunar Cycles,"This cluster of papers explores near-death experiences, paranormal beliefs, consciousness, superstition, spirituality, and their intersection with neuroscience and psychology. It delves into topics such as the incidence, features, and correlates of near-death experiences, the effects of stress and desire for control on superstitious behavior, the role of lunar cycles in human sleep and seizure occurrence, and the psychological implications of end-of-life experiences. The cluster also investigates the relationship between religious beliefs, education, thinking styles, and paranormal phenomena.",https://en.wikipedia.org/wiki/Near-death_experience
https://openalex.org/T13059,1,4,https://openalex.org/T13059,"Religion, Ecology, and Ethics",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Religion; Environment; Climate Change; Ethics; Conservation; Sustainability; Christianity; Islam; Environmental Ethics; Public Perception,"This cluster of papers explores the influence of various religious beliefs, values, and practices on environmental concern, activism, and attitudes towards climate change. It delves into the ethical considerations, conservation efforts, and sustainability initiatives within different religious contexts, particularly Christianity and Islam.",https://en.wikipedia.org/wiki/Religion_and_environment
https://openalex.org/T13887,0,4,https://openalex.org/T13887,Augustinian Studies and Theology,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Augustine; Theology; Philosophy; Christianity; Exegesis; Platonism; Ethics; Trinity; Salvation; Memory,"This cluster of papers focuses on the theology, philosophy, and influence of Augustine, a prominent figure in Christianity. It covers a wide range of topics including Augustine's early theology, invention of the inner self, political philosophy, exegesis, ethics, salvation, memory, and the Trinity.",https://en.wikipedia.org/wiki/Augustine_of_Hippo
https://openalex.org/T10209,0,3,https://openalex.org/T10209,Global Maternal and Child Health,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,Maternal Mortality; Child Mortality; Health Systems; Global Health Initiatives; Community Health Workers; Stillbirths; Health Inequalities; Antenatal Care; Health Service Utilization; Socio-Economic Factors,"This cluster of papers focuses on global maternal and child health outcomes, with a particular emphasis on maternal and child mortality, health systems, global health initiatives, community health workers, stillbirths, health inequalities, antenatal care, and the influence of socio-economic factors. The papers explore various interventions and challenges in improving maternal and child health worldwide.",https://en.wikipedia.org/wiki/Maternal_and_child_health
https://openalex.org/T10362,2,3,https://openalex.org/T10362,Biblical Studies and Interpretation,1212,Religious studies,12,Arts and Humanities,2,Social Sciences,Biblical Monotheism; Jewish Society; Christian Identity; Ancient Judaism; Hebrew Bible; Early Christianity; Iron Age Chronology; Theology; Dead Sea Scrolls; Religious Interpretation,"This cluster of papers focuses on biblical studies, ancient Judaism, early Christianity, and Christian theology. It explores topics such as biblical monotheism, Jewish society, Christian identity in the ancient world, the Hebrew Bible, early Christian literature, Iron Age chronology, theology, and the Dead Sea Scrolls.",https://en.wikipedia.org/wiki/Biblical_studies
https://openalex.org/T10517,2,3,https://openalex.org/T10517,"Financial Literacy, Pension, Retirement Analysis",1402,Accounting,14,"Business, Management and Accounting",2,Social Sciences,Financial Literacy; Retirement Planning; Household Finance; Consumer Behavior; Wealth Inequality; Investment Decisions; Asset Allocation; Income Inequality; Behavioral Economics; Savings Behavior,"This cluster of papers explores the importance of financial literacy, retirement planning, and household finance. It delves into topics such as consumer behavior, wealth inequality, investment decisions, asset allocation, income inequality, and the influence of behavioral economics on savings behavior.",https://en.wikipedia.org/wiki/Financial_literacy
https://openalex.org/T10883,3,3,https://openalex.org/T10883,Ethics and Social Impacts of AI,3311,Safety Research,33,Social Sciences,2,Social Sciences,Ethics; Fairness; Algorithmic Bias; Big Data; Machine Learning; Artificial Intelligence; Surveillance; Transparency; Discrimination; Accountability,"This cluster of papers explores the ethical implications of artificial intelligence, focusing on fairness, algorithmic bias, and accountability in the context of big data, machine learning, and surveillance. It delves into topics such as the societal impact of AI, discrimination in algorithms, transparency in decision-making processes, and the challenges of ensuring fairness and ethics in AI applications.",https://en.wikipedia.org/wiki/Ethics_of_artificial_intelligence
https://openalex.org/T11058,1,3,https://openalex.org/T11058,Ethics in Business and Education,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,Ethical Decision Making; Moral Identity; Business Ethics; Whistleblowing; Organizational Culture; Ethical Behavior; Social Cognitive Theory; Corporate Ethics; Professional Education; Cultural Values,"This cluster of papers explores the complex landscape of ethical decision making in organizations, delving into topics such as moral identity, business ethics, whistleblowing, organizational culture, and the influence of cultural values. It investigates the role of social cognitive theory, corporate ethics, and the impact of professional education on ethical behavior.",https://en.wikipedia.org/wiki/Business_ethics
https://openalex.org/T11118,0,3,https://openalex.org/T11118,Evolutionary Psychology and Human Behavior,3205,Experimental and Cognitive Psychology,32,Psychology,2,Social Sciences,Evolutionary Psychology; Human Behavior; Attractiveness; Mate Preferences; Life History Theory; Facial Perception; Sexual Selection; Testosterone; Adaptation; Social Cognition,"This cluster of papers explores the evolutionary psychology of human behavior and attraction, focusing on topics such as mate preferences, attractiveness, life history theory, facial perception, sexual selection, testosterone, adaptation, and social cognition. The research delves into understanding the biological and evolutionary underpinnings of human mating strategies, decision-making processes related to attractiveness and mate selection, and the role of hormones in shaping social behaviors.",https://en.wikipedia.org/wiki/Evolutionary_psychology
https://openalex.org/T11259,1,3,https://openalex.org/T11259,Agriculture Sustainability and Environmental Impact,2303,Ecology,23,Environmental Science,3,Physical Sciences,Sustainable Diets; Environmental Impact; Food Systems; Climate Change; Livestock Production; Health Effects; Plant-Based Diets; Greenhouse Gas Emissions; Dietary Choices; Global Food System,"This cluster of papers explores the intersection of sustainable diets, environmental impact, and global food systems. It delves into the effects of food choices on climate change, livestock production, and health, emphasizing the potential of plant-based diets to mitigate greenhouse gas emissions and reduce environmental footprint. The research also addresses the challenges and opportunities in transitioning towards more sustainable dietary patterns within the context of a rapidly changing global food system.",https://en.wikipedia.org/wiki/Sustainable_diet
https://openalex.org/T11544,1,3,https://openalex.org/T11544,"Gender, Labor, and Family Dynamics",3318,Gender Studies,33,Social Sciences,2,Social Sciences,Gender Inequality; Labor Force Participation; Welfare Reform; Income Tax; Household Decision Making; Economic Development; Female Labor Supply; Intrahousehold Allocation; Social Policy; Work and Family,"This cluster of papers explores the intersection of gender inequality, labor force dynamics, welfare reform, and household decision making. It delves into topics such as the impact of income tax policies on female labor supply, the effects of welfare reform on work incentives, and the role of gender in shaping economic development and intrahousehold resource allocation.",https://en.wikipedia.org/wiki/Gender_inequality
https://openalex.org/T12730,1,3,https://openalex.org/T12730,"Weber, Simmel, Sociological Theory",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Max Weber; sociology; ideal type; rationalization; charisma; religion; capitalism; protestant ethic; social science; cultural analysis,"This cluster of papers revolves around the contributions of Max Weber to sociology and social theory. It encompasses topics such as ideal types, rationalization, charisma, religion, capitalism, the Protestant ethic, and cultural analysis.",https://en.wikipedia.org/wiki/Max_Weber
https://openalex.org/T12857,0,3,https://openalex.org/T12857,Medieval Philosophy and Theology,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Aquinas; Boethius; Virtue Ethics; Medieval Theology; Philosophy of Law; Anselm; Scotus; Natural Law; Divine Providence; Metaphysics,"This cluster of papers focuses on the intersection of medieval philosophy and theology within the Christian tradition, particularly emphasizing the works of influential figures like Aquinas, Boethius, Anselm, and Scotus. It delves into topics such as virtue ethics, divine providence, natural law, and metaphysics.",https://en.wikipedia.org/wiki/Medieval_philosophy
https://openalex.org/T13109,0,3,https://openalex.org/T13109,Theological Perspectives and Practices,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Black Liberation Theology; Race; Religion; Social Justice; Feminism; Oppression; Intersectionality; Practical Theology; African-American; Gender,"This cluster of papers explores the intersection of Black liberation theology, race, feminism, and social justice. It delves into the impact of religion on African-American communities, addressing oppression, intersectionality, and practical theology in the context of gender and social inequality.",https://en.wikipedia.org/wiki/Black_theology
https://openalex.org/T13196,1,3,https://openalex.org/T13196,Political Theory and Influence,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,John Stuart Mill; Alexis de Tocqueville; Benjamin Constant; Imperialism; Democracy; French Liberalism; Colonialism; Nineteenth Century; Political Philosophy; Nation-State,"This cluster of papers explores the liberal political thought in 19th century Europe, focusing on the works and ideas of prominent figures such as John Stuart Mill, Alexis de Tocqueville, and Benjamin Constant. It delves into topics such as imperialism, democracy, colonialism, and the role of the nation-state in historical perspective.",https://en.wikipedia.org/wiki/19th-century_liberalism
https://openalex.org/T13435,0,3,https://openalex.org/T13435,Animal and Plant Science Education,3207,Social Psychology,32,Psychology,2,Social Sciences,Conservation; Attitudes; Biodiversity; Flagship Species; Animal Preferences; Plant Blindness; Cultural Salience; Education; Public Interest; Ethical Considerations,"This cluster of papers explores human attitudes and interactions with animals and plants, including the willingness to pay for biodiversity conservation, the selection of flagship species, the impact of education on attitudes, cultural influences on species preferences, and ethical considerations in conservation efforts.",https://en.wikipedia.org/wiki/Human%E2%80%93animal_interaction
https://openalex.org/T14223,2,3,https://openalex.org/T14223,Ayn Rand and Brontë studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,Economic Development; Global Economy; Financial Integration; Health Research; Management Consulting; Small and Medium-sized Enterprises; Leadership; Monetary Policy; Ethics in Business; International Relations,"This cluster of papers covers a wide range of topics related to economic development, policy analysis, and global business. It includes discussions on Germany's economic success, the impact of wearable technologies in health research, the role of the European Union in financial integration, small and medium-sized enterprises' borrowing ability, leadership in strategic management, monetary policy, ethics in business, and international relations. The papers provide insights into various aspects of economic development and global economic trends.",https://en.wikipedia.org/wiki/Economic_development
https://openalex.org/T14426,2,3,https://openalex.org/T14426,"Religion, Gender, and Enlightenment",1212,Religious studies,12,Arts and Humanities,2,Social Sciences,Mary Wollstonecraft; Quakerism; Feminism; Religion; Gender; Violence; Equality; Christianity; Conversion; Social Justice,"This cluster of papers explores the intersection of religion, feminism, and social justice, with a focus on the works of Mary Wollstonecraft and the history of Quakerism. It delves into topics such as gender equality, religious conversion, violence against women, and the role of Christianity in promoting social justice.",https://en.wikipedia.org/wiki/Religious_feminism
https://openalex.org/T14464,1,3,https://openalex.org/T14464,Community Development and Social Impact,2003,Finance,20,"Economics, Econometrics and Finance",2,Social Sciences,Impact Investing; Social Impact Bonds; Finance; Social Finance; Investment; Policy; Outcomes Measurement; Philanthropy; Marketization; Sustainable Development,"This cluster of papers explores the intersection of finance and social policy through the lens of impact investing, with a focus on social impact bonds, outcomes measurement, marketization, and sustainable development. It delves into the challenges, opportunities, and ethical considerations in leveraging private finance for public goods and evaluating the impact of such investments.",https://en.wikipedia.org/wiki/Impact_investing
https://openalex.org/T10058,0,2,https://openalex.org/T10058,Entrepreneurship Studies and Influences,1405,Management of Technology and Innovation,14,"Business, Management and Accounting",2,Social Sciences,Entrepreneurial Orientation; Opportunity Recognition; Social Entrepreneurship; University Technology Transfer; Venture Growth; Entrepreneurial Education; Innovation and Economic Growth; Sustainable Entrepreneurship; Gender and Entrepreneurship; Social Capital,"This cluster of papers covers a wide range of topics related to entrepreneurship, including entrepreneurial orientation, opportunity recognition, social entrepreneurship, university technology transfer, venture growth, entrepreneurial education, innovation and economic growth, sustainable entrepreneurship, gender and entrepreneurship, and social capital. The papers explore various aspects of entrepreneurial behavior, business innovation, and the impact of entrepreneurship on economic development.",https://en.wikipedia.org/wiki/Entrepreneurship
